iter	Passed	Remaining
424	1677	2269
425	1679	2263
426	1682	2257
427	1685	2253
428	1688	2247
429	1691	2242
430	1694	2236
431	1696	2231
432	1699	2225
433	1703	2221
434	1705	2215
435	1708	2209
436	1711	2204
437	1713	2198
438	1716	2193
439	1720	2189
440	1723	2184
441	1726	2179
442	1728	2173
443	1732	2168
444	1735	2164
445	1737	2158
446	1740	2153
447	1743	2148
448	1746	2143
449	1750	2138
450	1753	2134
451	1755	2128
452	1758	2123
453	1761	2117
454	1764	2113
455	1767	2108
456	1770	2103
457	1772	2098
458	1775	2092
459	1778	2087
460	1781	2083
461	1784	2078
462	1787	2072
463	1789	2067
464	1792	2062
465	1795	2057
466	1798	2052
467	1801	2047
468	1803	2042
469	1806	2036
470	1809	2032
471	1812	2027
472	1815	2022
473	1818	2017
474	1820	2012
475	1823	2007
476	1826	2002
477	1830	1998
478	1832	1993
479	1835	1988
480	1837	1982
481	1840	1977
482	1843	1973
483	1846	1968
484	1848	1963
485	1851	1958
486	1854	1953
487	1856	1948
488	1860	1943
489	1862	1938
490	1865	1933
491	1868	1928
492	1870	1923
493	1873	1919
494	1876	1914
495	1879	1909
496	1882	1905
497	1885	1900
498	1888	1896
499	1892	1892
500	1894	1887
501	1897	1882
502	1900	1878
503	1903	1873
504	1907	1869
505	1910	1864
506	1912	1860
507	1915	1855
508	1918	1850
509	1922	1846
510	1925	1842
511	1928	1837
512	1931	1833
513	1933	1828
514	1937	1824
515	1940	1819
516	1942	1814
517	1945	1810
518	1948	1805
519	1951	1800
520	1954	1796
521	1957	1792
522	1961	1789
523	1965	1785
524	1967	1780
525	1970	1775
526	1973	1770
527	1975	1765
528	1978	1761
529	1981	1757
530	1984	1752
531	1986	1747
532	1987	1741
533	1990	1736
534	1992	1732
535	1996	1728
536	1999	1723
537	2000	1717
538	2003	1713
539	2005	1708
540	2008	1703
541	2011	1699
542	2015	1695
543	2017	1691
544	2020	1686
545	2022	1682
546	2025	1677
547	2029	1673
548	2032	1669
549	2034	1664
550	2037	1660
551	2039	1655
552	2043	1651
553	2045	1647
554	2048	1642
555	2050	1637
556	2053	1633
557	2055	1628
558	2059	1624
559	2062	1620
560	2064	1615
561	2067	1611
562	2070	1606
563	2073	1602
564	2076	1598
565	2078	1593
566	2081	1589
567	2083	1584
568	2086	1580
569	2089	1576
570	2092	1572
571	2095	1567
572	2097	1563
573	2100	1558
574	2102	1554
575	2106	1550
576	2109	1546
577	2111	1541
578	2114	1537
579	2117	1533
580	2121	1529
581	2124	1525
582	2127	1521
583	2130	1517
584	2133	1513
585	2136	1509
586	2139	1505
587	2142	1500
588	2143	1495
589	2145	1491
590	2148	1486
591	2151	1482
592	2154	1478
593	2157	1474
594	2160	1470
595	2162	1466
596	2165	1461
597	2168	1458
598	2171	1453
599	2174	1449
600	2177	1445
601	2179	1441
602	2182	1436
603	2186	1433
604	2189	1429
605	2192	1425
606	2195	1421
607	2198	1417
608	2201	1413
609	2204	1409
610	2207	1405
611	2210	1401
612	2212	1397
613	2216	1393
614	2219	1389
615	2222	1385
616	2225	1381
617	2227	1377
618	2230	1372
619	2233	1369
620	2236	1364
621	2238	1360
